"filename", "language", "JavaScript", "SCSS", "JavaScript React", "JSON", "CSS", "comment", "blank", "total"
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/PolarArea.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Radar.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Scatter.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/SmallLine.js", "JavaScript", 94, 0, 0, 0, 0, 0, 9, 103
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/config.js", "JavaScript", 268, 0, 0, 0, 0, 0, 9, 277
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 2, 22
"/Users/mac/Workspaces/Code/foa/frontend/src/components/charts/util.js", "JavaScript", 64, 0, 0, 0, 0, 0, 14, 78
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/ApplicationMenu.js", "JavaScript", 58, 0, 0, 0, 0, 0, 10, 68
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/ColorSwitcher.js", "JavaScript", 139, 0, 0, 0, 0, 2, 10, 151
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/CustomBootstrap.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 9
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/CustomSelectInput.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/DatePicker.js", "JavaScript", 32, 0, 0, 0, 0, 4, 5, 41
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/DatePicker.scss", "SCSS", 0, 5, 0, 0, 0, 0, 1, 6
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/PopoverItem.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/Rating.js", "JavaScript", 36, 0, 0, 0, 0, 1, 6, 43
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/ReactAutoSuggest.js", "JavaScript", 73, 0, 0, 0, 0, 0, 12, 85
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/RecentPost.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 24
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/SliderTooltips.js", "JavaScript", 76, 0, 0, 0, 0, 1, 7, 84
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/TooltipItem.js", "JavaScript", 37, 0, 0, 0, 0, 0, 3, 40
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/upload.js", "JavaScript", 109, 0, 0, 0, 0, 3, 9, 121
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/upload.scss", "SCSS", 0, 45, 0, 0, 0, 10, 9, 64
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UserFollow.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/VideoPlayer.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 24
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notification.js", "JavaScript", 64, 0, 0, 0, 0, 0, 9, 73
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationContainer.js", "JavaScript", 45, 0, 0, 0, 0, 0, 10, 55
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationManager.js", "JavaScript", 120, 0, 0, 0, 0, 0, 17, 137
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notifications.js", "JavaScript", 59, 0, 0, 0, 0, 0, 6, 65
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 2, 7
"/Users/mac/Workspaces/Code/foa/frontend/src/components/forms/ProfileForm.js", "JavaScript", 226, 0, 0, 0, 0, 2, 21, 249
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.jsx", "JavaScript React", 0, 0, 49, 0, 0, 2, 9, 60
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.scss", "SCSS", 0, 24, 0, 0, 0, 1, 4, 29
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/index.jsx", "JavaScript React", 0, 0, 2, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/CommentWithLikes.js", "JavaScript", 48, 0, 0, 0, 0, 0, 5, 53
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/QuestionAnswer.js", "JavaScript", 37, 0, 0, 0, 0, 0, 4, 41
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/SingleLightbox.js", "JavaScript", 33, 0, 0, 0, 0, 0, 7, 40
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/DataListIcon.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 23
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ImageListIcon.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MenuIcon.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 20
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MobileMenuIcon.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ThumbListIcon.js", "JavaScript", 32, 0, 0, 0, 0, 0, 3, 35
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/BottomNavigation.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"/Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/TopNavigation.js", "JavaScript", 48, 0, 0, 0, 0, 0, 4, 52
"/Users/mac/Workspaces/Code/foa/frontend/src/constants/config.js", "JavaScript", 12, 0, 0, 0, 0, 5, 3, 20
"/Users/mac/Workspaces/Code/foa/frontend/src/constants/constants.js", "JavaScript", 59, 0, 0, 0, 0, 0, 5, 64
"/Users/mac/Workspaces/Code/foa/frontend/src/constants/defaultValues.js", "JavaScript", 26, 0, 0, 0, 0, 16, 5, 47
"/Users/mac/Workspaces/Code/foa/frontend/src/constants/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"/Users/mac/Workspaces/Code/foa/frontend/src/constants/menu.js", "JavaScript", 77, 0, 0, 0, 0, 82, 3, 162
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ConversionRatesChartCard.js", "JavaScript", 48, 0, 0, 0, 0, 1, 7, 56
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderAreaChartCard.js", "JavaScript", 98, 0, 0, 0, 0, 46, 16, 160
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderAreaChartCard.scss", "SCSS", 0, 39, 0, 0, 0, 1, 9, 49
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderByMonthChartCard.js", "JavaScript", 190, 0, 0, 0, 0, 5, 21, 216
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderByMonthChartCard.scss", "SCSS", 0, 37, 0, 0, 0, 0, 9, 46
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenueChartCard.js", "JavaScript", 263, 0, 0, 0, 0, 38, 25, 326
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenueChartCard.scss", "SCSS", 0, 37, 0, 0, 0, 0, 9, 46
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenuePieChartCard.js", "JavaScript", 159, 0, 0, 0, 0, 20, 18, 197
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenuePieChartCard.scss", "SCSS", 0, 38, 0, 0, 0, 1, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStatusChartCard.js", "JavaScript", 179, 0, 0, 0, 0, 21, 21, 221
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStatusChartCard.scss", "SCSS", 0, 39, 0, 0, 0, 1, 9, 49
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStockRadarChart.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProductCategoriesDoughnut.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProductCategoriesPolarArea.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProfileStatuses.js", "JavaScript", 30, 0, 0, 0, 0, 0, 4, 34
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/RevenueInsightChartCard.js", "JavaScript", 179, 0, 0, 0, 0, 23, 21, 223
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/RevenueInsightChartCard.scss", "SCSS", 0, 39, 0, 0, 0, 0, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SalesChartCard.js", "JavaScript", 48, 0, 0, 0, 0, 0, 6, 54
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SmallLineCharts.js", "JavaScript", 45, 0, 0, 0, 0, 0, 5, 50
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SortableStaticticsRow.js", "JavaScript", 39, 0, 0, 0, 0, 0, 4, 43
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/WebsiteVisitsChartCard.js", "JavaScript", 51, 0, 0, 0, 0, 0, 6, 57
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/AvailityBasic.js", "JavaScript", 86, 0, 0, 0, 0, 1, 10, 97
"/Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/AvailityCustom.js", "JavaScript", 153, 0, 0, 0, 0, 1, 14, 168
