"filename", "language", "JavaScript", "SCSS", "JavaScript React", "JSON", "comment", "blank", "total"
"/Users/mac/Workspaces/Code/foa/frontend/src/views/HourSelect/HourSelect.js", "JavaScript", 43, 0, 0, 0, 0, 9, 52
"/Users/mac/Workspaces/Code/foa/frontend/src/views/HourSelect/HourSelect.scss", "SCSS", 0, 38, 0, 0, 3, 7, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/HourSelect/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuCreate/MenuCreate.js", "JavaScript", 214, 0, 0, 0, 18, 23, 255
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuCreate/MenuCreate.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuCreate/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupCreate/MenuGroupCreate.js", "JavaScript", 96, 0, 0, 0, 1, 9, 106
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupCreate/MenuGroupCreate.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupCreate/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupDetail/MenuGroupDetail.jsx", "JavaScript React", 0, 0, 97, 0, 1, 17, 115
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupDetail/MenuGroupDetail.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupEdit/MenuGroupEdit.jsx", "JavaScript React", 0, 0, 218, 0, 3, 27, 248
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupEdit/MenuGroupEdit.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupEdit/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupList/DataListView.js", "JavaScript", 75, 0, 0, 0, 6, 8, 89
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupList/MenuGroupList.js", "JavaScript", 177, 0, 0, 0, 3, 29, 209
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupList/MenuGroupList.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupList/data-list.js", "JavaScript", 356, 0, 0, 0, 4, 28, 388
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuGroupList/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuInfo/MenuInfo.js", "JavaScript", 402, 0, 0, 0, 42, 51, 495
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuInfo/MenuInfo.scss", "SCSS", 0, 7, 0, 0, 1, 1, 9
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuInfo/data-list.js", "JavaScript", 364, 0, 0, 0, 13, 32, 409
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuInfo/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItem/MenuItem.js", "JavaScript", 49, 0, 0, 0, 0, 6, 55
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItem/MenuItem.scss", "SCSS", 0, 5, 0, 0, 1, 1, 7
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItem/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemCreate/MenuItemCreate.js", "JavaScript", 282, 0, 0, 0, 45, 32, 359
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemCreate/MenuItemCreate.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemCreate/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemDetail/MenuItemDetail.jsx", "JavaScript React", 0, 0, 114, 0, 2, 17, 133
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemDetail/MenuItemDetail.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemEdit/MenuItemEdit.jsx", "JavaScript React", 0, 0, 310, 0, 8, 40, 358
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemEdit/MenuItemEdit.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/MenuItemEdit/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/NewOrderDetail/NewOrderDetail.jsx", "JavaScript React", 0, 0, 6, 0, 0, 4, 10
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/NewOrderDetail/NewOrderDetail.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/NewOrderDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderDetail/OrderDetail.jsx", "JavaScript React", 0, 0, 147, 0, 1, 18, 166
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderDetail/OrderDetail.scss", "SCSS", 0, 9, 0, 0, 0, 2, 11
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/DataListView.js", "JavaScript", 96, 0, 0, 0, 2, 10, 108
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/ImageListView.js", "JavaScript", 69, 0, 0, 0, 1, 3, 73
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/OrderList.jsx", "JavaScript React", 0, 0, 198, 0, 11, 30, 239
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/OrderList.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/ThumbListView.js", "JavaScript", 75, 0, 0, 0, 1, 4, 80
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/data-list.js", "JavaScript", 346, 0, 0, 0, 50, 32, 428
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/OrderList/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectTopping/SelectTopping.js", "JavaScript", 310, 0, 0, 0, 21, 43, 374
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectTopping/SelectTopping.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
