"filename", "language", "JavaScript", "JavaScript React", "SCSS", "comment", "blank", "total"
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/upload.scss", "SCSS", 0, 0, 45, 10, 9, 64
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/UserFollow.js", "JavaScript", 23, 0, 0, 0, 3, 26
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/VideoPlayer.js", "JavaScript", 22, 0, 0, 0, 2, 24
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notification.js", "JavaScript", 64, 0, 0, 0, 9, 73
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationContainer.js", "JavaScript", 45, 0, 0, 0, 10, 55
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationManager.js", "JavaScript", 120, 0, 0, 0, 17, 137
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notifications.js", "JavaScript", 59, 0, 0, 0, 6, 65
"/Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/index.js", "JavaScript", 5, 0, 0, 0, 2, 7
"/Users/mac/Workspaces/Code/foa/frontend/src/components/forms/ProfileForm.js", "JavaScript", 226, 0, 0, 2, 21, 249
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.jsx", "JavaScript React", 0, 49, 0, 2, 9, 60
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.scss", "SCSS", 0, 0, 24, 1, 4, 29
"/Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/index.jsx", "JavaScript React", 0, 2, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/CommentWithLikes.js", "JavaScript", 48, 0, 0, 0, 5, 53
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/QuestionAnswer.js", "JavaScript", 37, 0, 0, 0, 4, 41
"/Users/mac/Workspaces/Code/foa/frontend/src/components/pages/SingleLightbox.js", "JavaScript", 33, 0, 0, 0, 7, 40
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/DataListIcon.js", "JavaScript", 20, 0, 0, 0, 3, 23
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ImageListIcon.js", "JavaScript", 12, 0, 0, 0, 3, 15
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MenuIcon.js", "JavaScript", 18, 0, 0, 0, 2, 20
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MobileMenuIcon.js", "JavaScript", 11, 0, 0, 0, 3, 14
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ThumbListIcon.js", "JavaScript", 32, 0, 0, 0, 3, 35
"/Users/mac/Workspaces/Code/foa/frontend/src/components/svg/index.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/BottomNavigation.js", "JavaScript", 23, 0, 0, 0, 3, 26
"/Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/TopNavigation.js", "JavaScript", 48, 0, 0, 0, 4, 52
"Total", "-", 3471, 51, 74, 26, 397, 4019
